Epoch 1: Median = -3420, 1st Quartile Avg = -120, 3rd Quartile Avg = -4560
Epoch 2: Median = -2220, 1st Quartile Avg = -840, 3rd Quartile Avg = -2400
Epoch 3: Median = -2640, 1st Quartile Avg = -1800, 3rd Quartile Avg = -3420
Epoch 4: Median = -2100, 1st Quartile Avg = -1380, 3rd Quartile Avg = -2520
Epoch 5: Median = -1500, 1st Quartile Avg = -780, 3rd Quartile Avg = -3360
Epoch 6: Median = -1860, 1st Quartile Avg = -1380, 3rd Quartile Avg = -3600
Epoch 7: Median = -2400, 1st Quartile Avg = -960, 3rd Quartile Avg = -2460
Epoch 8: Median = -2460, 1st Quartile Avg = -720, 3rd Quartile Avg = -2640
Epoch 9: Median = -2160, 1st Quartile Avg = -1680, 3rd Quartile Avg = -2640
Epoch 10: Median = -2160, 1st Quartile Avg = -1560, 3rd Quartile Avg = -2700
11, -4980, -3840, -5370
12, -4260, -1950, -7380
13, -4230, -1890, -7620
14, -4170, -1530, -5790
11, -4200, -3930, -5340
11, -4320, -3960, -5040
12, -4560, -4170, -5400
13, -3570, -1650, -7620
14, -4650, -3750, -5130
15, -3120, -2640, -6120
16, -4380, -3900, -5370
17, -3990, -3120, -7110
18, -3810, -3300, -5670
19, -4650, -1410, -4950
20, -4080, -3450, -5130
21, -3660, -2970, -7890
21, -3000, -2910, -7590
22, -4200, -3000, -4890
23, -3780, -3150, -5280
